WineName,Price,CountryState,Region,ProductType,VarietalType,Description
Earthquake Zinfandel,$19.99,California,Lodi,Red Wine,Zinfandel,Lodi CA- Juicy dark plums spicy cloves and full-bodied. Suede-like bold tannins churning together with vanilla and toasted raspberry cobbler. A long smooth finish on this intensely rich wine.. (Intense Plum Spice  Full-bodied )
Pacific Peak Merlot,$2.97,California,,Red Wine,Merlot,California- Soft silky fruit notes and medium tannins blend together creating a flavor of dark cherry and light overtones of cassis and pepper. A pleasing approachable wine on its own this bottle will enhance any meal. (Fresh Cassis Pepper  Medium-bodied )
Atrevida Malbec 2015,$9.99,Argentina,,Red Wine,Malbec,James Suckling-Mendoza Argentina - Aromas of dark fruit and bark follow through to a full body silky tannins and a fruity finish. Reserved and delicious. Enjoy with grilled smoky meats. (Concentrated Mineral Floral  Full-bodied )
San Antonio Cardinale Red Blend,$8.99,California,,Red Wine,Red Blend,California- American Cardinale is a classic San Antonio Winery blend. A refreshing juicy dark red wine perfect for many occasions. For the best sipping experience serve lightly chilled. (Fresh Juicy Berry  Medium-bodied )
Double Dog Dare Merlot,$4.49,California,,Red Wine,Merlot,California- An elegant wine with well-integrated flavors of sweet cherry fruit velvety soft medium-body and soft ripe tannins. Round and delicious this wine is great with food or enjoyed by itself. (Fresh Black Cherry Cassis  Medium-bodied )
Woodbridge Mondavi Cabernet-Merlot,$9.97,California,,Red Wine,Cabernet Sauvignon,Woodbridge California- Combines some of the finest attributes of both varietals! A dry mouthwatering full-bodied red wine with vibrant flavors of currant plum black cherry and hints of spice. ()
Zaccagnini Montepulciano DAbruzzo,$10.47,Italy,Abruzzo,Red Wine,Montepulciano,Abruzzo Italy - Intense violet robe. Aromas of plum and ripe blackberry. Each sip delivers a mouthful of ripe berries leather and black pepper with subtle hints of oregano dried herbs and a touch of vanilla; all leading to a dry and supple finish. ()
Oak Grove Cabernet Reserve,$8.99,California,,Red Wine,Cabernet Sauvignon,California- Rich ripe flavors of dark cherry plum and currants abound in this Cabernet. The winemakers at Oak Grove believe that the best wines are made in the vineyard. They source only the best fruit and showcase it in every bottle. Enjoy with grilled steak and roasts. (Fresh Black Cherry Currant  Medium-bodied )
Renieri Rosso di Montalcino 2014,$19.99,Italy,Tuscany,Red Wine,Sangiovese,James Suckling-Tuscany Italy - A linear red with sliced orange and hints of hazelnut. Bright acidity. Medium body and extremely fine tannins. Energetic finish. This includes a large percentage of declassified 2014 and it shows the quality. (Elegant Cherry Spice  Medium-bodied )
Chateau de Nages Costieres de Nimes Rouge Vieilles Vignes 2015,$16.99,France,Rhone,Red Wine,Rhone Blend,Wine Advocate-Costieres de Nimes Rhone France - ...A darker richer effort that offers lots of black fruits dark chocolate smoked herbs and spice in a mouth-filling concentrated balanced style. [Barrel Score 89 -92] (Intense Black Cherry Cassis  Medium-bodied )
Coppola Diamond Claret,$11.97,California,,Red Wine,Cabernet Sauvignon,California- Claret is a term originally coined by the British to describe Cabernet-based wines. This Cabernet Merlot Cabernet Franc Petit Verdot Malbec blend is a deep rich firmly structured wine that offers lively aromas and succulent flavors of wild berries plum and anise. ()
Belle Glos Pinot Noir Las Alturas 2016,$99.99,California,,Red Wine,Pinot Noir,Santa Lucia Highlands Central Coast CA- Belle Glos Las Alturas Pinot Noir possesses a broad texture deep sweet fruit earthy black raspberry cherry and red currant aromas and beautiful purity as well as a seamless finish. ()
Chateau Bois Chantant Bordeaux Superieur 2015,$14.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Enthusiast -Bordeaux Superieur Bordeaux France- Fruity and ripe the wine also has some solid structure to give it a core of dark tannins. The black-currant fruits are developing well bringing their crispness to the party. (Elegant Blackberry Plum  Medium-bodied )
Mascota Vyds Gran Mascota Cabernet Sauvignon 2014,$19.99,Argentina,Mendoza,Red Wine,Cabernet Sauvignon,James Suckling-Mendoza Argentina - A dense and rich wine with blueberry currant and spice character. Medium to full body layered and intense. Plenty going on here. Delicious cab. Enjoy! (Concentrated Black Fruit Pepper  Full-bodied )
Diosares Rioja Crianza 2014,$12.99,Spain,Rioja,Red Wine,Tempranillo,Wine Advocate-Rioja Spain-The nose is ripe with black rather than red fruit judicious oak and an herbal Mediterranean character. However the palate feels much fresher with juicy fruit and fine round tannins and a finish lifted by some acidity. Highly gulpable. (Concentrated Blackberry Spice  Medium-bodied )
Ruffino Chianti Riserva Ducale Tan,$16.97,Italy,Tuscany,Red Wine,Sangiovese,Chianti Classico Tuscany Italy- A powerful young Riserva! The aromas hint at an earthiness similar to porcini mushrooms while clearly indicating the concentration of cherry fruit that comes forward on the palate. Youthful with bright acid lifting the rich texture. ()
Martins Pick Up Shiraz,$9.99,Australia,,Red Wine,Syrah/Shiraz,Australia- A fruit flavor of richness complimented by supple tannins with dark chocolate and cherry on the finish dark cherries blueberries and hints of violets and white pepper. Pair this Shiraz with hard cheeses and grilled meats. (Elegant Dark Chocolate Cherry  Full-bodied )
Chateau Fleur Cardinale St Emilion 2015,$49.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-St. Emilion Bordeaux France - Super rich baking spices across ripe dark plums in a very suave and attractively styled nose. The palate has incredible depth and succulently seductive fleshy plum flavors. Wow. (Concentrated Blackberry Blueberry Stone  Full-bodied )
Quilt Cabernet Sauvignon Napa Valley,$39.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA -A seamless blend of cassis hazelnut cocoa blackberry preserves and charry meat with notes of dark licorice stewed rhubarb strawberry spice and vanillin. Rich and satisfying with chocolate brownie yogurt and molasses in perfect balance with high-toned fruit. ()
Coastline Cabernet,$11.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Central Coast CA- Coastline Cabernet is a rich full-bodied wine with aromas and flavors of blackcurrant spiced plum and vanilla. The long finish with ripe tannins and good structure is highly desirable. (Fresh Plum Vanilla  Medium-bodied )
Bota Box RedVolution,$14.99,California,,Red Wine,Red Blend,California- This smooth full-bodied wine with lush flavors of dark fruit spice and vanilla culminates in a juicy fruit-focused finish. Pairs beautifully with any meat dish. ()
Chateau Pavie St. Emilion 2015,$399.99,France,Bordeaux,Red Wine,Bordeaux Blend,James Suckling-St.Emilion Bordeaux France - This is really something. Sort of speechless when I taste it. It shows evocative aromas of wet earth oyster shell dust tile blackberries and blueberries. Full body ultra-fine tannins and a length and intensity that is so so fine. (Intense Rose Dark Fruit  Full-bodied )
Cloud Break Merlot,$8.99,California,,Red Wine,Merlot,California- Bright and intense this silky smooth Merlot is full of flavor. Plum blackberry and cherry radiate on the palate. Cloud Break Merlot can easily be enjoyed on its own or with a variety of food pairings including cheeses or pasta dishes. (Fresh Cherry Plum  Medium-bodied )
Angeline Pinot Noir Reserve 2016,$17.49,California,Sonoma County,Red Wine,Pinot Noir,Wine Enthusiast -Mendocino County - It has a straightforward no-nonsense approach and offers great value. Enticing black cherry and raspberry flavors are supported by fine-grained tannins and crisp acidity. The fruit notes are pure clean and linger nicely on the finish. (Elegant Raspberry Vanilla  Medium-bodied )
Molly Dooker Shiraz Blue Eyed Boy 2015,$36.97,Australia,McLaren Vale,Red Wine,Syrah/Shiraz,South Australia Australia- Named after the son of award wining winemakers Sarah and Sparky Marquis this brand new wine shares the mission statement of the Mollydooker brand We make wines that make people go WOW through commitment to excellence and attention to detail. (Concentrated Blueberry Licorice  Full-bodied )
Seven Rings Cabernet Oakville,$34.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Oakville Napa CA- Dark fruit and ripe plum with an oak driven spicey finish define this Oakville power house. Perfect with braised meats hearty stews grilled vegetables and assorted rich cheeses. (Elegant Dark Berry Plum Spice  Full-bodied )
Josh Cellars Merlot,$11.97,California,,Red Wine,Merlot,California- Aromas of black cherries fresh plums violet and dark chocolate overwhelm the bouquet. On the palate the wine is layered with fresh cherries plums and mocha softened by its delicate texture and given staying power with a long raspberry and cocoa powder finish. (Fresh Plum Cherry  Medium-bodied )
Alexander Valley Cabernet,$16.49,California,Sonoma County,Red Wine,Cabernet Sauvignon,California- Alexander Valley Vineyards Cabernet Sauvignon has great texture and structure with a medium mouth feel. There are aromas of dark plum cherry cassis warm barrel spice vanilla and dark chocolate. ()
Belle Glos Pinot Noir Dairyman Russian River Valley 2015,$49.99,California,Sonoma County,Red Wine,Pinot Noir,Russian River Valley Sonoma CA- Color is a brilliant ruby red which hints at the wines appealing aromas of cherry nutmeg and cranberry. On the palate the wine is velvety smooth with red cherry sweet baking spice and plum balanced by bright acidity. ()
TULI Pinot Noir Sonoma County,$25.99,California,Sonoma County,Red Wine,Pinot Noir,Sonoma County CA- Fifth-generation Belle Glos Wines winemaker Joseph Wagner has crafted another stunning Pinot Noir. Aromas of cranberry red apple toasty cinnamon and vanilla hint at the flavors to come. On the palate bright fruit and light tannins round out the wine nicely. (Elegant Strawberry Vanilla  Full-bodied )
Chateau de Nages Buti Nages Nimes Rouge 2015,$12.99,France,Rhone,Red Wine,Rhone Blend,Whisky Advocate-Costieres de Nimes Rhone France - Based on 70% Grenache and 15% each of Syrah and Mourvedre aged all in concrete tanks it has a fresh lively medium-bodied style to go with notes of blackberry jam pepper peach pit and flowers. (Intense Black Cherry Blackberry  Medium-bodied )
Stags Leap Cabernet Napa,$39.97,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Rich ruby red in color luscious aromatics of black cherry blackberries and plum with a slight note of earth leather and bittersweet chocolate. Flavors of plum compote spice green tea and cocoa flow to the finish of velvety unctuous tannins. (Elegant Blackberry Vanilla  Full-bodied )
Opus One 2014,$309.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,James Suckling-Napa CA- Mesmerizing aromas of flowers bark currants and blackberries. So perfumed. You just want to smell it. Exquisite tension and finesse with an almost Burgundian texture yet its Napa in its soul with ripe fruit stones spices and Chinese tea leaf flavors. ()
Barrelhouse Bourbon Red Wine,$12.99,California,,Red Wine,Red Blend,California- Aged for three months in bourbon barrels. You will find traditional oak flavors of vanilla and clove combine with the hearty caramel and coffee flavors of fine bourbon imparting distinct layers of complexity onto the wine. Connect to the Bourbon Trail with the first sip! (Oak Cherry Plum Spice  Full-bodied )
Cruz Alta Cabernet Sauvignon Reserve,$12.99,Argentina,Mendoza,Red Wine,Cabernet Sauvignon,Mendoza Argentina- Sourced from exceptional vineyards this 100% Cabernet Sauvignon stands out for its elegant character and balance. Intense aromas and flavors of cassis and red fruits are shaded with coffee notes on the smooth finish. Aged 10 months in French oak. (Intense Cassis Coffee  Medium-bodied )
Christophe Cabernet Sauvignon Napa Valley Limited Edition,$29.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Fragrant aromas of cassis plum and mocha lead to deep flavors of black cherry dark chocolate and tobacco. Well-integrated oak and toasty vanilla offer additional complexity while allowing the wine to retain its approachable fruit-forward style. (Elegant Cherry Chocolate  Full-bodied )
Titus Cabernet Napa 2014,$52.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- An excellent value is undoubtedly the 2014 Cabernet Sauvignon...The wine has a dense purple color a good sweet kiss of creme de cassis blackberry and licorice. Graphite makes an appearance in this medium to full-bodied delicious wine... (Concentrated Blackberry Oak  Full-bodied )
Il Duca Cardinal Sweet Red,$12.99,California,,Red Wine,Red Blend,California - American Cardinale is a classic San Antonio Winery blend. A refreshing juicy dark red wine perfect for many occasions. Full of dark berry flavor with hints of spice. (Sweet Juicy Spice  Medium-bodied )
Vinestone Sweet Red Blend,$12.99,California,,Red Wine,Red Blend,Napa California - Vinestone Sweet Red is a refreshingly sweet wine with flavors of bright cherries and juicy peaches. Balanced and approachable this versatile wine can be served chilled as an aperitif or with grilled meats Asian cuisine and light cheeses. (Sweet Cherry Peach  Medium-bodied )
Faust Cabernet Napa 2015,$49.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- deep garnet-purple colored with a decadent cassis baked blackberries and plum preserves-scented nose...Full-bodied rich concentrated and wonderfully spicy in the mouth it has velvety tannins and just enough freshness finishing long. (Barrel Score 92-94) ()
Bota Box Malbec,$14.99,California,,Red Wine,Malbec,California- A medium-bodied fruit-forward Malbec with aromas of ripe plums and blackberry with a touch of coffee. The perfect pairing to red meats as well as spicy cuisine. ()
La Delizia Pinot Noir,$10.99,Italy,,Red Wine,Pinot Noir,Italy- Fresh fruit-driven and crowd-pleasing this supple Pinot Noir shows hints of fresh cherry and berry layered in a soft easy-drinking style. The ripe aromas of plum and red fruits combine in a delightful nose reminiscent of homemade preserves. (Fresh Raspberry Cherry  Light-bodied )
Oak Ridge Zinfandel Lodi AV,$14.49,California,Lodi,Red Wine,Zinfandel,Lodi CA- A robust wine packed with fat ripe fruit (cherries cassis and blackberries) yet enough acidity to give it lift. Smoky cola flavors that do not overpower. Finished with ripe tannins. A terrific wine from an underrated region. Pair with BBQ beef or stir fry. (Intense Blackberry Cherry  Medium-bodied )
Bogle Phantom Red,$13.97,California,,Red Wine,Red Blend,California- Three distinctive varietals combine lush berry and fierce spice into a wine haracterized by its incandescence. Deeply luscious and succulent blackberries ignite this vintage of our rich ruby apparition. Aromas of anise and sweet fig are embraced by touches of black pepper. ()
Wildhaven Merlot Columbia Valley,$12.99,Washington,Columbia Valley,Red Wine,Merlot,Columbia Valley Washington- Bursting with aromas of blueberry blackberry and a hint of cedar. Berry fruits continue on the palate rounded out with juicy cherries and integrated oak. (Intense Cherry Blueberry  Medium-bodied )
Heitz Cabernet Napa,$44.97,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Distinctive earthy and generous with a strong beam of mint spice and currant aromas and flavors. A fabulous bottle of wine to do with any cut of meat. Impress your guests as well as yourself! (Concentrated Earth Mint Spice  Full-bodied )
Chateau Rauzan Segla Margaux 2015,$94.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Advocate-Margaux Bordeaux France - Medium to deep garnet-purple colored it gives up a myriad of softly spoken fresh berry floral and fragrant earth notes including crushed red and black currants black raspberries and menthol notes with touches of cigar box lavender violets (Concentrated Blackberry Flint Violet  Medium-bodied )
Coelho Atracao Pinot Noir Willamette Valley 2015,$21.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Wine Enthusiast -Willamette Valley OR - This light-fruited wine is the most widely available of the winerys Pinots. Its cherry and orange candy flavors give it a pleasant albeit superficial entry... for a light and accessible taste of the Willamette Valley its a fair value (Elegant Cherry Cedar  Medium-bodied )
Amici Pinot Noir Russian River Valley 2016,$39.99,California,Sonoma County,Red Wine,Pinot Noir,James Suckling-Russian River Valley Sonoma California - A juicy and straight up Russian River red with dried berry and chocolate character. Full and layered. Delicious finish. What you expect... (Elegant Raspberry Spice  Medium-bodied )
Vineyard Drive Cabernet Sauvignon Paso Robles,$12.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Paso Robles CA - Aromas of ripe red fruits and spice jump out of the glass. The mid-palate shows dusty tannins balanced with zesty red currant and cherry cola notes that transition to a mouthwatering finish. Pairs wonderfully with an array of foods. (Elegant Red Currant Cola  Medium-bodied )
Reserve St Martin Cabernet,$14.99,France,Vins de Pays dOc,Red Wine,Cabernet Sauvignon,Vins de Pay South of France France- Compare this terrific value to any California brand in this price range and you will be surprised. 100 % Cabernet Sauvignon hand harvested revealing delicious notes of cassis and red fruits smooth and well balanced. Party perfect! (Fresh Fruity Cassis  Medium-bodied )
Josh Cellars Red Blend Family Reserve Lodi,$15.99,California,Lodi,Red Wine,Red Blend,North Coast- A Reserve offering from the popular Josh Cellars! This fruit forward red blend is bursting with refined flavors of blackberry plum and vanilla accented by fine tannins and excellent length. Its full body complements everything from filet mignon to grilled vegetables. (Concentrated Blackberry Plum Vanilla  Full-bodied )
Gary Farrell Pinot Noir Russian River 2015,$35.99,California,Sonoma County,Red Wine,Pinot Noir,Wine Enthusiast -Sonoma CA- Pomegranate bay leaf and cardamom flavors are focused grounded by abundant notes of tart cranberry and strawberry. The mouthfeel is silky while an herbal underbelly and lingering clove flavor persists through the finish. ()
Blackstone Merlot California,$6.27,California,,Red Wine,Merlot,California- Rich blackberry plum and raspberry flavors with hints of vanilla and toasted French bread. Pairs well with grilled steaks hearty lasagna and baked salmon. Smooth balanced and perfect for any occasion. ()
Clos du Bois Cabernet,$8.97,California,Sonoma County,Red Wine,Cabernet Sauvignon,Sonoma CA- The deep ruby red color of this wine hinting at black is the first clue to its intensity. Vibrant aromas of ripe blackberry spice and cassis mingle with notes of vanilla and toasted oak on the nose. Full-bodied and velvety on the palate. ()
Terre di Talamo Morellino di Scansano 2013,$14.99,Italy,Tuscany,Red Wine,Sangiovese,James Suckling-Tuscany Italy - A bright and fresh red with dried cherry and plum aromas and flavors. Full to medium body crisp finish... Ideal with red sauces and pork dishes. A strong Sangiovese wine. (Elegant Cherry Plum  Medium-bodied )
Josh Cellars Cabernet Sauvignon Family Reserve Paso Robles,$16.99,California,Central Coast,Red Wine,Cabernet Sauvignon,Paso Robles CA- A Reserve offering from the popular Josh Cellars! This exceptional Cabernet offers an elegant profile of blackcurrant black cherry pepper and vanilla supported by fine tannins. Pair with grilled steak braised short ribs lamb stew or mushroom stroganoff. (Elegant Black Cherry Vanilla  Full-bodied )
Iter Cabernet Sauvignon Napa Valley,$19.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Napa CA- Elegant with layered flavors of blackberry currants black cherry and cocoa. The vibrant finish is smooth with fine grained tannins. Great on its own this Cabernet is also a very versatile food pairing wine due to its medium-body and structured fresh finish. (Elegant Blackberry Cocoa  Medium-bodied )
Latitud 42 Rioja Ecologico,$9.99,Spain,Rioja,Red Wine,Tempranillo,Rioja Spain - This Rioja is aged six months in barrel and six months in bottle prior to release. It has bright flavors of cherry fruit combined with a touch of spice and gentle tannins. Enjoy with tapas pasta and roasted vegetables! (Concentrated Cherry Spice Red Fruit  Medium-bodied )
Phebus Malbec Patagonia Reserva 2015,$14.99,Argentina,Patagonia,Red Wine,Malbec,James Suckling-Argentina Patagonia - Lots of ripe fruits that gives an intense fresh mushroom and spice character on the nose and palate. Full body firm and silky tannins and a fresh and clean finish.  (Intense Blackberry Violet  Medium-bodied )
Chateau De La Huste Fronsac 2015,$19.99,France,Bordeaux,Red Wine,Bordeaux Blend,Wine Spectator-Fronsac Bordeaux France - Ripe and fresh lined with a sleek mineral streak that runs through the core of damson plum and cherry preserve flavors. The backdrop of sweet tobacco hangs gently. Judicious toast lets everything cruise through unencumbered. (Elegant Black Currant Plum  Full-bodied )
Big Six Bourbon Barrel Red Blend,$14.99,California,,Red Wine,Red Blend,California - THE NEWEST WAY TO EXPERIENCE WINE! Bourbon barrel aged for three months which adds flavors of vanilla caramel and oak to a mouthful of cherries blackberries and hints of spice. Not for the faint of heart - This red blend packs in a ton a flavor! (Concentrated Vanilla Caramel  Full-bodied )
Cruz Alta Malbec Reserve,$10.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- This 100% Malbec is sourced from three iconic high altitude vineyards in the famed region of Mendoza. Revealing rich black fruit and red plum aromas a spicy structured palate and a long firm finish. Classic match with grilled meats. (Intense Black Fruit Vanilla  Medium-bodied )
Saladini Pilastri Rosso Piceno Superiore Montetinello,$14.99,Italy,Marches,Red Wine,Montepulciano,Marches Italy- This special selection from the Montetinello vineyard offers fresh plum and black cherry fruit. It is penetrating and spicy in aroma with a long vigorous well sustained finish and a medium-weight palate. Montepulciano 70% Sangiovese 30% aged in large Slavonian oak. (Intense Fruity Plum Cherry  Medium-bodied )
Sepal Soft Red Blend,$12.99,California,,Red Wine,Red Blend,California- This soft red wine is a perfect mix of a Rose and a Red Blend. Your palate will be pleased with the gentle flavors of ripe red fruits cranberry hints of orange zest and a crisp refreshing finish. Serve slightly chilled. (Fresh Cranberry Red Fruit  Light-bodied )
First &amp; Local Cabernet,$12.99,California,,Red Wine,Cabernet Sauvignon,California- FROM OUR VINEYARD TO YOUR TABLE. Aromas of ripe black currant smoke and saddle lead to flavors of dark cherry and ripe plum with a hint of vanilla and cocoa. A firm and approachable structure with a balanced and long finish. (Intense Berry Plum  Full-bodied )
Rodney Strong Cabernet Alexander,$19.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Alexander Valley Sonoma CA- Deep dark ruby color with vibrant red currant and fresh herb aromas. This elegant and full bodied wine coats the palate with supple textures balanced by soft tannins and acidity finishing very long. ()
Kicker Cane Cabernet Rutherford,$34.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Rutherford Napa CA- A wine of place this power house delivers classic notes of black fruit coffee creme de casis and that Rutherford Dust minerality. A fruit driven wine that is all about complexity of fruit and terroir. Crafted using environmentally sustainable practices. (Concentrated Vanilla Blackberry Spice  Full-bodied )
Bevan Red EE Oakville 2015,$249.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- The full-bodied mouth is full-on gorgeous with blockbuster ripe fine-grained tannins and tons of red and black fruit layers complemented with earth and savory notions culminating in an epically long layered finish. (Concentrated Black Cherry Cassis  Full-bodied )
Kicker Cane Cabernet Alexander Valley,$19.99,California,Sonoma County,Red Wine,Cabernet Sauvignon,Alexander Valley Sonoma CA- Bold blackberries cherries and creme de cassis held together by balanced oak drive this wine. Terroir shines through with the depth and complexity it gives this cabernet. This wine was crafted using environmentally sound sustainable farming practices. (Concentrated Vanilla Herb Red Berry  Full-bodied )
Rodney Strong Merlot Sonoma,$11.67,California,Sonoma County,Red Wine,Merlot,Sonoma CA- Supple and well oaked aroma with a toasty buttery edge to the plum and cherry laced fruit flavors. Body is Firm and chunky but well made with a complex finish. ()
Crimson Thread Lot 113 Red Blend,$8.99,California,,Red Wine,Red Blend,California- This Red Blend has unique and robust flavors that will catch you off guard. Find layers of dark fruit flavors and aromas of candied lilacs and smoky spices. Pair with roasted lamb New York strip and summer vegetables. (Intense Dark Fruit Jam  Full-bodied )
Borne of Fire Cabernet Sauvignon 2016,$24.99,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,James Suckling-Columbia Valley WA - This is the first year made of this wine with wonderful blackberries rose leaves and blueberries. Wildly floral. Stems. Full body and round and fine tannins. Juicy and intense. Shows an eccentric style. All large oak. A new natue and personality. (Elegant Pomegranate Stone Herb  Medium-bodied )
Martin Ray Synthesis 2014,$59.99,California,,Red Wine,Cabernet Sauvignon,James Suckling-Napa Valley California - A beautiful cabernet with blackberry blackcurrant and stone aromas that follow through to a full body velvety tannins and a flavorful finish. Enjoy! (Elegant Plum Vanilla  Full-bodied )
La Crema Pinot Noir Russian River Valley 2014,$27.99,California,Sonoma County,Red Wine,Pinot Noir,Russian River Valley Sonoma CA- This opens with aromas of black cherry and blackberry with hints of cola and black licorice. The flavors center on dark lush fruit and spice which provide rich texture and a lingering juicy finish. (Elegant Blackberry  Medium-bodied )
Kudos Pinot Noir Yamhill-Carlton District Willamette Valley,$21.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Yamhill-Carlton Willamette Valley OR- Abounding with black cherry and raspberry fruit followed by complex white pepper spice and rose petal aromas this Pinot Noir is intense and vibrant. (Elegant Cherry Spice  Medium-bodied )
Happy Camper Cabernet,$9.99,California,,Red Wine,Cabernet Sauvignon,California- Rich ripe flavors of dark cherry plum and currants best describe this fruit-forward Cabernet. Whether you are out for an adventure or quiet meal Happy Camper is a great complement to both. (Fresh Currant Cherry  Medium-bodied )
Baronia del Montsant Flor dEnglora Garnacha 2011,$12.49,Spain,,Red Wine,Grenache,Wine Advocate-Montsant Spain- Has a ripe dark plum and cranberry-scented bouquet that is quite dense and powerful with touches of undergrowth emerging with aeration. The palate is crisp and animated on the entry with a citric thread of acidity...ripe cranberry pomegranate and wild strawberry. (Fresh Cranberry Plum  Full-bodied )
Cruz Alta Malbec Grand Reserve,$14.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina - A fruity wine with excellent body and strong tannins. Flavors of cherry blackberry boysenberry and plum intermingle with hints of ginger and pepper to create a long full finish. Cruz Alta Grand Reserve Malbec named a top 50 Value by Wine and Spirits. (Concentrated Cherry Plum  Full-bodied )
Caymus Cabernet 2015,$159.99,California,Napa Valley,Red Wine,Cabernet Sauvignon,Wine Advocate-Napa CA- The perfumed black fruit preserves and chocolate-laced notes completely pack the full-bodied palate with soft velvety tannins and just enough freshness finishing very long and very spicy. Definitely one for hedonists seeking immediate gratification. (Elegant Cassis Blackberry Mocha  Full-bodied )
Martins Pick Up Cabernet,$9.99,Australia,,Red Wine,Cabernet Sauvignon,Australia- A beautifully elegant Cabernet with flavors of violets blackberries and plums with soft plush tannins on the finish. Pair this full-bodied wine with pasta pizza and steak. (Elegant Violet Blackberry Plum  Full-bodied )
Samuel Robert Winery Pinot Noir Vintners Reserve Willamette 2016,$14.99,Oregon,Willamette Valley,Red Wine,Pinot Noir,Wine Enthusiast -Willamette Valley Oregon - This is a serious wine with a core of black cherry cola a hint of molasses and plenty of juicy acidity. The flavors are straightforward honest and substantial (Intense Black Cherry Cinnamon Nutmeg  Full-bodied )
Kings Pass Cabernet Sauvignon Napa,$16.99,California,,Red Wine,Cabernet Sauvignon,Napa California- Well-balanced with flavors of red and dark berries with spice and a long finish. Its a beautiful full-bodied Cabernet with dark plum and boysenberry. Pairs well with braised short-ribs and rack of lamb. (Elegant Black Cherry Plum  Full-bodied )
Columbia Crest Grand Estate Cabernet,$6.77,Washington,Columbia Valley,Red Wine,Cabernet Sauvignon,Columbia Valley Washington- Soft yet intense aromas of chocolate cherry cassis and slight spice lead to a medium-bodied palate of fruit forward flavors. This concentrated wine trails into a supple finish that offers silky tannins notes of dark chocolate and a slightly spiced finish. ()
Releaf Organic Cabernet,$10.49,South Africa,,Red Wine,Cabernet Sauvignon,Cape Town South Africa- Cabernet Sauvignon Merlot Shiraz. It is made from 100% hand harvested organically grown grapes from vineyards under sustainable agriculture. The blend perfectly balances the fabulous fruit flavors structure and acidity. (Intense Blackberry Vanilla  Medium-bodied )
Terramore Organic Nero dAvola,$7.99,Italy,Sicily,Red Wine,Nero dAvola,Sicily Italy- Produced from organically farmed grapes this bold red has an intense ruby color with aromas of ripe black cherry and blackberry. Juicy dark fruit flavors are balanced with spicy richness and smooth tannins. Perfect for hearty pasta dishes and roasted pork. (Intense Berry Black Cherry  Medium-bodied )
Barefoot Cellars Cabernet,$8.97,California,,Red Wine,Cabernet Sauvignon,California- This is a jammy wine with robust flavors of wild berries and currants. Hints of toasted oak and clove complete the velvety smooth finish. Another solid value wine from Barefoot. (Fresh Berry Oak  Medium-bodied )
Menage a Trois Red,$6.77,California,,Red Wine,Red Blend,California- This wine has fresh ripe jam like fruit that is the calling card of California wine. Forward silky and soft this delicious dalliance makes the perfect accompaniment for grilled meats and chicken. (Fresh Blackberry Raspberry  Medium-bodied )
El Prado Tempranillo Cabernet,$6.99,Spain,Valencia,Red Wine,Red Blend,Spain- This light to medium-bodied blend of 70% Tempranillo and 30% Cabernet has a rich red purple color and displays raspberry and blackberry flavors on the palate. Silky in texture with a superb finish it pairs well with simple dishes such as cold meats and cheeses or pasta dishes. (Fresh Raspberry Currant  Medium-bodied )
Argami Montsant,$17.99,Spain,Montsant,Red Wine,Red Blend,Montsant Spain - Floral on the nose with blueberry and blackberry on the mouth. Hints of minerality are present in this full-bodied wine. Pairs great with a roast and hearty stews. From critically acclaimed Spanish wine importer and consultant Jorge Ordonez. (Elegant Blueberry Floral  Medium-bodied )
Michael David Cabernet Freakshow,$15.99,California,,Red Wine,Cabernet Sauvignon,California- Concentrated with multiple layers of dark fruit spice and oak. The upfront richness is nicely balanced by a crisp finish laced with firm tannins. Additional notes of pomegranate and smoke. ()
Cruz Alta Malbec,$9.99,Argentina,Mendoza,Red Wine,Malbec,Mendoza Argentina- Sourced from exceptional high altitude vineyards in Mendoza this distinctive wine stands out for its true expression of the character of the Malbec grape. Displaying cassis and plum fruit accompanied by delicate toasty notes. Enjoy with grilled meats. (Fresh Cassis Plum Toast  Medium-bodied )
